,Patrocinador do Estudo,Número do Processo,Nome ou Código do Medicamento Experimental,Classe Terapêutica,Tipo de Medicamento Experimental,Doença,CID10,Nome do Protocolo Clínico,Título do Estudo,Fase do Estudo,Tipo de Estudo,Situação do Estudo,Instituição de Pesquisa,Investigador,Número de Pacientes,Unnamed: 0,NCT Number,Intervention Type,Intervention,Start Date,Completion Date,First Posted
10,LABORATÓRIOS SERVIER DO BRASIL LTDA,25351006683202435,"S095018 / S095024 /S095029 (105937, 5-0137) ",NULO,BIOLÓGICO,NEOPLASIA MALIGNA DOS BRÔNQUIOS E DOS PULMÕES,C34,SPLFIO-174,"ESTUDO DE PLATAFORMA DE FASE 1B/2, ABERTO, MULTICÊNTRICO DE COMBINAÇÕES SELECIONADAS DE IMUNOTERAPIA EM PARTICIPANTES ADULTOS COM CÂNCER DE PULMÃO DE CÉLULAS NÃO PEQUENAS (CPCNP) AVANÇADO NÃO TRATADO PREVIAMENTE COM ALTA EXPRESSÃO DE PD-L1. VERSÃO 2.0 DE 26 DE JANEIRO DE 2024.",I/II,POSSUI COOPERAÇÃO ESTRANGEIRA,AUTORIZADO,Não há dados,Não há dados,Não há dados,223341,NCT06162572,DRUG, S095018,2024-08-07 00:00:00,2027-07-01 00:00:00,2023-12-08
11,PPD DO BRASIL SUPORTE A PESQUISA CLINICA LTDA,25351008744202237,AG-348 (MITAPIVATE),ANTIANEMICOS,SINTÉTICO/SEMISSINTÉTICO,TRANSTORNOS FALCIFORMES,D57,AG348-C-020,"UM ESTUDO MULTICÊNTRICO DE FASE 2/3, DUPLO-CEGO, RANDOMIZADO, CONTROLADO POR PLACEBO PARA AVALIAR A SEGURANÇA E A EFICÁCIA DE MITAPIVATE EM SUJEITOS COM DOENÇA FALCIFORME. PROTOCOLO ORIGINAL DE 22 DE ABRIL DE 2021.
",II/III,POSSUI COOPERAÇÃO ESTRANGEIRA,INICIADO,FUNDACAO DE APOIO AO ENSINO PESQUISA E ASSISTENCIA HCFMRP,ANA CRISTINA SILVA PINTO,3,240680,NCT05031780,DRUG, Mitapivat,2022-02-11 00:00:00,2030-02-01 00:00:00,2021-09-02
12,PPD DO BRASIL SUPORTE A PESQUISA CLINICA LTDA,25351008744202237,AG-348 (MITAPIVATE),ANTIANEMICOS,SINTÉTICO/SEMISSINTÉTICO,TRANSTORNOS FALCIFORMES,D57,AG348-C-020,"UM ESTUDO MULTICÊNTRICO DE FASE 2/3, DUPLO-CEGO, RANDOMIZADO, CONTROLADO POR PLACEBO PARA AVALIAR A SEGURANÇA E A EFICÁCIA DE MITAPIVATE EM SUJEITOS COM DOENÇA FALCIFORME. PROTOCOLO ORIGINAL DE 22 DE ABRIL DE 2021.
",II/III,POSSUI COOPERAÇÃO ESTRANGEIRA,INICIADO, FUNDACAO FACULDADE DE MEDICINA MECMPAS,GUILHERME HENRIQUE HENCKLAIN FONSECA,3,240680,NCT05031780,DRUG, Mitapivat,2022-02-11 00:00:00,2030-02-01 00:00:00,2021-09-02
13,PPD DO BRASIL SUPORTE A PESQUISA CLINICA LTDA,25351008744202237,AG-348 (MITAPIVATE),ANTIANEMICOS,SINTÉTICO/SEMISSINTÉTICO,TRANSTORNOS FALCIFORMES,D57,AG348-C-020,"UM ESTUDO MULTICÊNTRICO DE FASE 2/3, DUPLO-CEGO, RANDOMIZADO, CONTROLADO POR PLACEBO PARA AVALIAR A SEGURANÇA E A EFICÁCIA DE MITAPIVATE EM SUJEITOS COM DOENÇA FALCIFORME. PROTOCOLO ORIGINAL DE 22 DE ABRIL DE 2021.
",II/III,POSSUI COOPERAÇÃO ESTRANGEIRA,INICIADO, FUNDACAO PRO INSTITUTO DE HEMATOLOGIA DO RIO DE JANEIRO,CLARISSE LOBO,3,240680,NCT05031780,DRUG, Mitapivat,2022-02-11 00:00:00,2030-02-01 00:00:00,2021-09-02
14,PPD DO BRASIL SUPORTE A PESQUISA CLINICA LTDA,25351008744202237,AG-348 (MITAPIVATE),ANTIANEMICOS,SINTÉTICO/SEMISSINTÉTICO,TRANSTORNOS FALCIFORMES,D57,AG348-C-020,"UM ESTUDO MULTICÊNTRICO DE FASE 2/3, DUPLO-CEGO, RANDOMIZADO, CONTROLADO POR PLACEBO PARA AVALIAR A SEGURANÇA E A EFICÁCIA DE MITAPIVATE EM SUJEITOS COM DOENÇA FALCIFORME. PROTOCOLO ORIGINAL DE 22 DE ABRIL DE 2021.
",II/III,POSSUI COOPERAÇÃO ESTRANGEIRA,INICIADO, HOSPITAL DE CLINICAS DE PORTO ALEGRE,JOÃO RICARDO FRIEDRISCH,3,240680,NCT05031780,DRUG, Mitapivat,2022-02-11 00:00:00,2030-02-01 00:00:00,2021-09-02
15,PPD DO BRASIL SUPORTE A PESQUISA CLINICA LTDA,25351008744202237,AG-348 (MITAPIVATE),ANTIANEMICOS,SINTÉTICO/SEMISSINTÉTICO,TRANSTORNOS FALCIFORMES,D57,AG348-C-020,"UM ESTUDO MULTICÊNTRICO DE FASE 2/3, DUPLO-CEGO, RANDOMIZADO, CONTROLADO POR PLACEBO PARA AVALIAR A SEGURANÇA E A EFICÁCIA DE MITAPIVATE EM SUJEITOS COM DOENÇA FALCIFORME. PROTOCOLO ORIGINAL DE 22 DE ABRIL DE 2021.
",II/III,POSSUI COOPERAÇÃO ESTRANGEIRA,INICIADO, PRAXIS PESQUISA MEDICA,VITOR AUGUSTO QUEIROZ MAUAD,3,240680,NCT05031780,DRUG, Mitapivat,2022-02-11 00:00:00,2030-02-01 00:00:00,2021-09-02
16,PPD DO BRASIL SUPORTE A PESQUISA CLINICA LTDA,25351008744202237,AG-348 (MITAPIVATE),ANTIANEMICOS,SINTÉTICO/SEMISSINTÉTICO,TRANSTORNOS FALCIFORMES,D57,AG348-C-020,"UM ESTUDO MULTICÊNTRICO DE FASE 2/3, DUPLO-CEGO, RANDOMIZADO, CONTROLADO POR PLACEBO PARA AVALIAR A SEGURANÇA E A EFICÁCIA DE MITAPIVATE EM SUJEITOS COM DOENÇA FALCIFORME. PROTOCOLO ORIGINAL DE 22 DE ABRIL DE 2021.
",II/III,POSSUI COOPERAÇÃO ESTRANGEIRA,INICIADO, UNIAO BRASILEIRA DE EDUCACAO E ASSISTENCIA,MARIZA DAGORD SCHAAN,3,240680,NCT05031780,DRUG, Mitapivat,2022-02-11 00:00:00,2030-02-01 00:00:00,2021-09-02
17,PPD DO BRASIL SUPORTE A PESQUISA CLINICA LTDA,25351008744202237,AG-348 (MITAPIVATE),ANTIANEMICOS,SINTÉTICO/SEMISSINTÉTICO,TRANSTORNOS FALCIFORMES,D57,AG348-C-020,"UM ESTUDO MULTICÊNTRICO DE FASE 2/3, DUPLO-CEGO, RANDOMIZADO, CONTROLADO POR PLACEBO PARA AVALIAR A SEGURANÇA E A EFICÁCIA DE MITAPIVATE EM SUJEITOS COM DOENÇA FALCIFORME. PROTOCOLO ORIGINAL DE 22 DE ABRIL DE 2021.
",II/III,POSSUI COOPERAÇÃO ESTRANGEIRA,INICIADO, UNIVERSIDADE ESTADUAL DE CAMPINAS,SARA TERESINHA OLALLA SAAD,3,240680,NCT05031780,DRUG, Mitapivat,2022-02-11 00:00:00,2030-02-01 00:00:00,2021-09-02
18,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.,25351009266201518,ETROLIZUMABE,ANTINEOPLASICO,BIOLÓGICO,COLITE ULCERATIVA,K51,GA28949,"ESTUDO DE FASE III, RANDOMIZADO, DUPLO-CEGO, DUPLO-MASCARADO, CONTROLADO POR PLACEBO E MULTICÊNTRICO PARA AVALIAR A EFICÁCIA (INDUÇÃO DE REMISSÃO) E A SEGURANÇA DE ETROLIZUMABE COMPARADO AO ADALIMUMABE E PLACEBO EM PARTICIPANTES COM COLITE ULCERATIVA MODERADA A GRAVE NÃO TRATADOS ANTERIORMENTE COM INIBIDORES DE TNF",III,POSSUI COOPERAÇÃO ESTRANGEIRA,AUTORIZADO,FUNDACAO INST MINEIRO DE ESTUDOS E PESQUISAS EM NEFROLOGIA,PEDRO DUARTE GABURRI,4,238641,NCT02171429,DRUG, Adalimumab,2014-11-14 00:00:00,2020-05-25 00:00:00,2014-06-24
19,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.,25351009266201518,ETROLIZUMABE,ANTINEOPLASICO,BIOLÓGICO,COLITE ULCERATIVA,K51,GA28949,"ESTUDO DE FASE III, RANDOMIZADO, DUPLO-CEGO, DUPLO-MASCARADO, CONTROLADO POR PLACEBO E MULTICÊNTRICO PARA AVALIAR A EFICÁCIA (INDUÇÃO DE REMISSÃO) E A SEGURANÇA DE ETROLIZUMABE COMPARADO AO ADALIMUMABE E PLACEBO EM PARTICIPANTES COM COLITE ULCERATIVA MODERADA A GRAVE NÃO TRATADOS ANTERIORMENTE COM INIBIDORES DE TNF",III,POSSUI COOPERAÇÃO ESTRANGEIRA,AUTORIZADO, HOSPITAL ERNESTO DORNELLES,FELIPE MAZZOLENI,4,238641,NCT02171429,DRUG, Adalimumab,2014-11-14 00:00:00,2020-05-25 00:00:00,2014-06-24
20,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.,25351009266201518,ETROLIZUMABE,ANTINEOPLASICO,BIOLÓGICO,COLITE ULCERATIVA,K51,GA28949,"ESTUDO DE FASE III, RANDOMIZADO, DUPLO-CEGO, DUPLO-MASCARADO, CONTROLADO POR PLACEBO E MULTICÊNTRICO PARA AVALIAR A EFICÁCIA (INDUÇÃO DE REMISSÃO) E A SEGURANÇA DE ETROLIZUMABE COMPARADO AO ADALIMUMABE E PLACEBO EM PARTICIPANTES COM COLITE ULCERATIVA MODERADA A GRAVE NÃO TRATADOS ANTERIORMENTE COM INIBIDORES DE TNF",III,POSSUI COOPERAÇÃO ESTRANGEIRA,AUTORIZADO, UNIVERSIDADE FEDERAL DA BAHIA,GENOILE OLIVEIRA SANTANA SILVA,3,238641,NCT02171429,DRUG, Adalimumab,2014-11-14 00:00:00,2020-05-25 00:00:00,2014-06-24
21,ICON PESQUISAS CLINICAS LTDA.,25351010149202261,FIDRISERTIB (IPN60130),Não há dados,SINTÉTICO/SEMISSINTÉTICO,MIOSITE OSSIFICANTE PROGRESSIVA,M611,D-CA-60130-452,ESTUDO DE FASE 2 PARA AVALIAR A EFICÁCIA E SEGURANÇA DE 2 ESQUEMAS POSOLÓGICOS DE FIDRISERTIBE (IPN60130) POR VIA ORAL PARA O TRATAMENTO DE FIBRODISPLASIA OSSIFICANTE PROGRESSIVA EM PARTICIPANTES PEDIÁTRICOS E ADULTOS DO SEXO MASCULINO E FEMININO. PROTOCOLO CLÍNICO EMENDA 4 DATADO DE 28 DE FEVEREIRO DE 2023. ,II,POSSUI COOPERAÇÃO ESTRANGEIRA,AUTORIZADO,SOCIEDADE BENEFICENTE ISRAELITA BRAS HOSP ALBERT EINSTEIN,PATRICIA LONGO RIBEIRO DELAI,5,325049,NCT05039515,DRUG, IPN60130,2021-12-01 00:00:00,2029-03-30 00:00:00,2021-09-09
22,GLAXOSMITHKLINE BRASIL LTDA,25351012249201555,LOSMAPIMODE (GW856553),OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,SINTÉTICO/SEMISSINTÉTICO,DOENÇA PULMONAR OBSTRUTIVA CRÔNICA COM EXACERBAÇÃO AGUDA NÃO ESPECIFICADA,J441,201496,UM ESTUDO PARA AVALIAR A EFICÁCIA E SEGURANÇA DE 15 MG BID DE LOSMAPIMODE (GW856553) COMPARADO AO PLACEBO EM INDIVÍDUOS COM DOENÇA PULMONAR OBSTRUTIVA CRÔNICA (DPOC) COM EXACERBAÇÕES FREQUENTES.,IIA,POSSUI COOPERAÇÃO ESTRANGEIRA,AUTORIZADO,CEPIC CENTRO PAULISTA DE INVESTIGACAO CLINICA E SERVICOS MED,MARCIO ABREU NEIS,7,314098,NCT02299375,DRUG, Losmapimod tablets,2014-12-09 00:00:00,2016-06-30 00:00:00,2014-11-24
23,GLAXOSMITHKLINE BRASIL LTDA,25351012249201555,LOSMAPIMODE (GW856553),OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,SINTÉTICO/SEMISSINTÉTICO,DOENÇA PULMONAR OBSTRUTIVA CRÔNICA COM EXACERBAÇÃO AGUDA NÃO ESPECIFICADA,J441,201496,UM ESTUDO PARA AVALIAR A EFICÁCIA E SEGURANÇA DE 15 MG BID DE LOSMAPIMODE (GW856553) COMPARADO AO PLACEBO EM INDIVÍDUOS COM DOENÇA PULMONAR OBSTRUTIVA CRÔNICA (DPOC) COM EXACERBAÇÕES FREQUENTES.,IIA,POSSUI COOPERAÇÃO ESTRANGEIRA,AUTORIZADO, COMPLEXO DE PREVENCAO DIAGNOSTICO TERAPIA REAB RESP S S LTDA,MARINA LIMA,7,314098,NCT02299375,DRUG, Losmapimod tablets,2014-12-09 00:00:00,2016-06-30 00:00:00,2014-11-24
24,GLAXOSMITHKLINE BRASIL LTDA,25351012249201555,LOSMAPIMODE (GW856553),OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,SINTÉTICO/SEMISSINTÉTICO,DOENÇA PULMONAR OBSTRUTIVA CRÔNICA COM EXACERBAÇÃO AGUDA NÃO ESPECIFICADA,J441,201496,UM ESTUDO PARA AVALIAR A EFICÁCIA E SEGURANÇA DE 15 MG BID DE LOSMAPIMODE (GW856553) COMPARADO AO PLACEBO EM INDIVÍDUOS COM DOENÇA PULMONAR OBSTRUTIVA CRÔNICA (DPOC) COM EXACERBAÇÕES FREQUENTES.,IIA,POSSUI COOPERAÇÃO ESTRANGEIRA,AUTORIZADO, IRMANDADE DA SANTA CASA DE MISERICORDIA DE SAO PAULO,ROBERTO STIRBULOV,7,314098,NCT02299375,DRUG, Losmapimod tablets,2014-12-09 00:00:00,2016-06-30 00:00:00,2014-11-24
25,GLAXOSMITHKLINE BRASIL LTDA,25351012249201555,LOSMAPIMODE (GW856553),OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,SINTÉTICO/SEMISSINTÉTICO,DOENÇA PULMONAR OBSTRUTIVA CRÔNICA COM EXACERBAÇÃO AGUDA NÃO ESPECIFICADA,J441,201496,UM ESTUDO PARA AVALIAR A EFICÁCIA E SEGURANÇA DE 15 MG BID DE LOSMAPIMODE (GW856553) COMPARADO AO PLACEBO EM INDIVÍDUOS COM DOENÇA PULMONAR OBSTRUTIVA CRÔNICA (DPOC) COM EXACERBAÇÕES FREQUENTES.,IIA,POSSUI COOPERAÇÃO ESTRANGEIRA,AUTORIZADO, PERNAMBUCO SECRETARIA DE SAUDE,FERNANDO LUNDGREN,7,314098,NCT02299375,DRUG, Losmapimod tablets,2014-12-09 00:00:00,2016-06-30 00:00:00,2014-11-24
26,GLAXOSMITHKLINE BRASIL LTDA,25351012249201555,LOSMAPIMODE (GW856553),OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,SINTÉTICO/SEMISSINTÉTICO,DOENÇA PULMONAR OBSTRUTIVA CRÔNICA COM EXACERBAÇÃO AGUDA NÃO ESPECIFICADA,J441,201496,UM ESTUDO PARA AVALIAR A EFICÁCIA E SEGURANÇA DE 15 MG BID DE LOSMAPIMODE (GW856553) COMPARADO AO PLACEBO EM INDIVÍDUOS COM DOENÇA PULMONAR OBSTRUTIVA CRÔNICA (DPOC) COM EXACERBAÇÕES FREQUENTES.,IIA,POSSUI COOPERAÇÃO ESTRANGEIRA,AUTORIZADO, SPDM ASSOCIACAO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA,JOSÉ ROBERTO JARDIM,7,314098,NCT02299375,DRUG, Losmapimod tablets,2014-12-09 00:00:00,2016-06-30 00:00:00,2014-11-24
27,GLAXOSMITHKLINE BRASIL LTDA,25351012249201555,LOSMAPIMODE (GW856553),OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,SINTÉTICO/SEMISSINTÉTICO,DOENÇA PULMONAR OBSTRUTIVA CRÔNICA COM EXACERBAÇÃO AGUDA NÃO ESPECIFICADA,J441,201496,UM ESTUDO PARA AVALIAR A EFICÁCIA E SEGURANÇA DE 15 MG BID DE LOSMAPIMODE (GW856553) COMPARADO AO PLACEBO EM INDIVÍDUOS COM DOENÇA PULMONAR OBSTRUTIVA CRÔNICA (DPOC) COM EXACERBAÇÕES FREQUENTES.,IIA,POSSUI COOPERAÇÃO ESTRANGEIRA,AUTORIZADO, UNIVERSIDADE FEDERAL DE SANTA CATARINA,EMILIO PIZZICHINI,7,314098,NCT02299375,DRUG, Losmapimod tablets,2014-12-09 00:00:00,2016-06-30 00:00:00,2014-11-24
